1.1.1.,écouter un récit et manifester sa compréhension en répondant à des questions sans se reporter au texte
,"Le·la jeune restitution des informations entendues sur divers supports (vidéos, textes lus, enregistrements…) ;"
1.1.2.,dire de mémoire un texte à haute voix
,"Exemples : poésies, chansons, texte de théâtre (mises en scène)"
1.1.3.,réaliser une courte présentation orale en prenant appui sur des notes ou autre (affiche/diaporama…)
,Le·la jeune est capable de prendre la parole devant un groupe ; sait restituer des informations cherchées/apprises ; sait adapter l’écrit à l’oral (ne pas lire)
1.1.4.,participer de façon constructive aux échanges dans un groupe
,"Respecte les tours de parole, prends en compte l’avis de l’autre pour parler, écoute, justifie, argumente ses dires"
1.1.5.,comprendre et interpréter un texte littéraire adapté à son âge
,être capable de résumer un texte lu et d’en comprendre le sens
1.1.6.,écrire un texte d’une page adapté à son destinataire
,"Le·la jeune connaît les caractéristiques des lettres, rédactions, dialogues, récits et peut faire la différence entre eux"
1.1.7.,"après révision obtenir un texte organisé et cohérent, à la graphie lisible et l’orthographe respectée"
,"Le·la sait se relire, faire corriger et améliorer un texte produit (lettre, récit…)"
1.1.8.,"comprendre le fonctionnement de la langue (accords, constituants d’une phrase simple et complexe)"
,Le·lae est capable de faire apparaître seul·e les marques des accords et sait expliciter pourquoi elles sont présentes
1.1.9.,lire différents documents et textes pour apprendre dans différentes disciplines
,"Le·la jeune a déjà lu quelques textes appartenant à divers thèmes ( texte historique, scientifique, ouvrage littéraire...)"
1.1.10.,"Lire avec fluidité (mémoriser la lecture de mots irréguliers, automatiser le décodage)"
,Le·la jeune peut lire sans difficulté un texte de une page à haute voix
1.2.1.,écouter et comprendre des messages oraux simples de la vie quotidienne
,"Le·la jeune peut dans une langue étrangère restituer ce qui vient de lui être dit (école,nourriture, maison, se présenter soi...)"
1.2.2.,utiliser des indices/le contexte pour comprendre un texte/un mot
,Le·la jeune sait comprendre la thématique d’un texte en langue étrangère grâce à un mot ou groupe de mot reconnu
1.2.3.,mémoriser et reproduire à l’oral des énoncés à l’oral
,
1.2.4.,participer à des échanges simples pour être compris·e
,Le·la jeune est capable d’interagir en situation de dialogue simple en langue étrangère
1.2.5.,écrire des expressions dont l’ordre et la syntaxe ont été mémorisés
,Le·la jeune peut écrire des expressions complexes grace à la mémorisation de celles-ci
1.2.6.,poser des questions simples
,Le·la jeune connaît des mots interrogatifs en langue étrangère et est capable de formuler une question simple
1.3.1.,"utiliser le lexique, les unités, les instruments de mesure spécifiques de ces grandeurs"
,"Le·la jeune sait comparer des périmètres, des aires, estimer la mesure de volumes, identifier des angles dans une figure géométrique,"
1.3.2.,rendre compte d’observations/expériences avec un vocabulaire précis
,Le·la sait utiliser le vocabulaire scientifique pour parler d’une expérience réalisée
1.3.3.,exploiter divers supports documentaires
,"Le·la jeune est capable de chercher des informations dans plusieurs types de documents (numérique, encyclopédie, textes…)"
1.3.4.,"utiliser différents modes de représentation formalisés (schéma, dessin, croquis, tableau, graphique…)"
,"Le·la jeune sait se repérer sur un tableau, peut extraire des informations d’un graphique, ou réaliser un schéma"
1.3.5.,expliquer un phénomène à l’oral et à l’écrit
,Le·la jeune peut mobiliser du vocabulaire spécifique appris pour rendre compte d’un phénomène scientifique de manière structurée
1.4.1.,"Décrire et interroger à l’aide d’un vocabulaire spécifique ses productions plastiques, celles de ses pairs et des œuvres étudiées"
,Le·la jeune mobilise du vocabulaire propre aux arts pour commenter des œuvres
1.4.2.,formuler une expression juste de ses émotions en prenant appui sur des réalisations artistiques  
,"Le·la jeune est capable de décrire ses ressentis (emploi des mots de sentiments) face à une œuvre artistique (tableau, sculpture, architecture, illustration…)"
1.4.3.,reproduire et interpréter un modèle mélodique et rythmique
,"Utilisation des divers paramètres pour interpréter l’intention d’une mélodie ou les émotions produites par celle-ci : timbre, intensité, durée (tempo), hauteurs ; a déjà utilisé des instruments pour créer ou reproduire un rythme simple."
1.4.4.,décrire et comparer les éléments sonores issus de contextes musicaux différents
,Le·la jeune a déjà entendu diverses mélodies (cultures différentes) et est capable d’identifier les caractéristiques de chacune ou de les différencier
1.4.5.,identifier et nommer différences et ressemblances dans deux extraits musicaux
,"Le·la jeune utilise du vocabulaire musical (tempo, rythme, timbre…) pour décrire les différences entres des extraits musicaux divers"
1.4.6.,"faire des propositions personnelles lors de moments de création, d’invention et d’interprétation"
,Le·la jeune peut mobiliser son propre univers musical lorsqu’il s’agit de créer et peut nommer ce qu’iel aime en terme de musique ou de mélodie
1.4.7.,adapter sa motricité à des situations variées
,"En situation sportive, iel peut s’adapter à l’environnement pour être le plus efficace possible dans ses déplacements (sauter, courir, ralentir, tenir fermement sur ses appuis, accélérer...)"
1.4.8.,acquérir des techniques spécifiques pour améliorer son efficacité
